id,humedad_ambiente,humedad_tierra,temperatura,hora,estado_valvula
2063,38.8,52.0,11.8,2025-03-02 00:39:47,0
2062,36.9,52.0,12.1,2025-03-02 00:19:47,0
2061,38.8,53.0,12.5,2025-03-01 23:59:47,0
2060,33.1,53.0,13.8,2025-03-01 23:39:46,0
2059,29.9,55.0,14.7,2025-03-01 23:19:46,0
2058,28.2,53.0,16.1,2025-03-01 22:59:45,0
2057,25.8,53.0,17.1,2025-03-01 22:39:45,0
2056,23.3,52.0,19.0,2025-03-01 22:19:45,0
2055,21.6,54.0,19.3,2025-03-01 21:59:44,0
2054,19.9,53.0,21.8,2025-03-01 21:39:43,0
2053,16.6,54.0,24.4,2025-03-01 21:19:43,0
2052,16.1,54.0,25.2,2025-03-01 20:59:42,0
2051,15.7,54.0,25.2,2025-03-01 20:39:42,0
2050,16.4,55.0,23.9,2025-03-01 20:19:41,0
2049,19.2,56.0,21.6,2025-03-01 19:59:41,0
2048,20.1,55.0,21.8,2025-03-01 19:39:41,0
2047,15.8,55.0,24.5,2025-03-01 19:19:40,0
2046,19.0,56.0,25.4,2025-03-01 18:59:40,0
2045,14.9,56.0,28.8,2025-03-01 18:39:39,0
2044,12.8,56.0,30.3,2025-03-01 18:19:39,0
2043,9.8,56.0,36.3,2025-03-01 17:59:38,0
2042,11.9,57.0,32.0,2025-03-01 17:39:38,0
2041,11.8,57.0,32.4,2025-03-01 17:19:37,0
2040,9.2,57.0,38.4,2025-03-01 16:59:37,0
2039,8.6,58.0,43.9,2025-03-01 16:39:36,0
2038,9.3,58.0,41.1,2025-03-01 16:19:36,0
2037,9.9,58.0,44.5,2025-03-01 15:59:35,0
2036,9.1,58.0,42.3,2025-03-01 15:39:34,0
2035,10.1,58.0,43.6,2025-03-01 15:19:33,0
2034,9.4,59.0,41.3,2025-03-01 14:59:33,0
2033,8.9,60.0,42.3,2025-03-01 14:39:33,0
2032,9.7,59.0,41.6,2025-03-01 14:19:32,0
2031,11.0,60.0,38.4,2025-03-01 13:59:31,0
2030,11.0,60.0,39.3,2025-03-01 13:39:30,0
2029,11.2,60.0,38.0,2025-03-01 13:19:30,0
2028,11.9,60.0,39.2,2025-03-01 12:59:30,0
2027,11.7,60.0,39.9,2025-03-01 12:39:30,0
2026,13.1,61.0,38.6,2025-03-01 12:19:29,0
2025,13.0,61.0,37.9,2025-03-01 11:59:29,0
2024,13.5,60.0,38.9,2025-03-01 11:39:28,0
2023,13.4,58.0,39.7,2025-03-01 11:19:27,0
2022,15.3,56.0,36.0,2025-03-01 10:59:26,0
2021,15.3,54.0,36.1,2025-03-01 10:39:25,0
2020,18.0,53.0,35.2,2025-03-01 10:19:25,0
2019,18.1,54.0,32.8,2025-03-01 09:59:24,0
2018,14.6,51.0,38.9,2025-03-01 09:39:23,0
2017,14.5,52.0,37.1,2025-03-01 09:19:23,0
2016,15.5,52.0,35.3,2025-03-01 08:59:22,0
2015,18.2,51.0,31.7,2025-03-01 08:39:22,0
2014,44.1,51.0,11.0,2025-03-01 08:19:22,0
2013,52.0,52.0,8.7,2025-03-01 07:59:21,0
2012,57.2,51.0,5.7,2025-03-01 07:39:21,0
2011,56.5,51.0,5.1,2025-03-01 07:19:21,0
2010,54.2,54.0,5.1,2025-03-01 06:59:20,0
2009,53.3,52.0,5.8,2025-03-01 06:39:20,0
